Tarih,Saat,Sembol,Ad,Fiyat (TRY),Günlük %,Hedef Fiyat,Mod
2026-04-02,11:17,KCHOL.IS,Koç Holding,194.00,-0.92,-,izleme
2026-04-02,11:17,ASELS.IS,Aselsan,325.50,1.64,-,izleme
2026-04-02,11:17,TUPRS.IS,Tüpraş,258.00,1.67,-,izleme
2026-04-02,11:17,GARAN.IS,Garanti BBVA,127.70,-0.85,-,izleme
2026-04-02,11:32,KCHOL.IS,Koç Holding,194.10,-0.87,-,izleme
2026-04-02,11:32,ASELS.IS,Aselsan,324.75,1.41,-,izleme
2026-04-02,11:32,ASTOR.IS,Astor Enerji,202.40,2.58,-,izleme
2026-04-02,11:32,TUPRS.IS,Tüpraş,257.75,1.58,-,izleme
2026-04-02,11:32,GARAN.IS,Garanti BBVA,127.60,-0.93,-,izleme
2026-04-02,18:34,KCHOL.IS,Koç Holding,193.10,-1.38,-,izleme
2026-04-02,18:34,ASELS.IS,Aselsan,336.50,5.07,-,izleme
2026-04-02,18:34,ASTOR.IS,Astor Enerji,207.80,5.32,-,izleme
2026-04-02,18:34,TUPRS.IS,Tüpraş,256.00,0.89,-,izleme
2026-04-02,18:34,GARAN.IS,Garanti BBVA,131.30,1.94,-,izleme
2026-04-02,18:34,ISCTR.IS,İş Bankası C,13.18,1.15,-,izleme
